isoform_id,bam1_count,bam2_count
CHS.23563.20,2,0
CHS.23563.24,2,0
CHS.23565.2,2,0
CHS.240.16,2,0
CHS.24093.7,2,0
CHS.24303.9,2,0
CHS.2439.3,2,0
CHS.24442.6,2,0
CHS.24453.1,2,0
CHS.24464.5,2,0
CHS.24470.25,2,0
CHS.24584.14,2,0
CHS.24604.16,2,0
CHS.24617.7,2,0
CHS.2462.6,2,0
CHS.24624.32,2,0
CHS.24624.38,2,0
CHS.24624.9,2,0
CHS.24754.24,2,0
CHS.24758.33,2,0
CHS.24762.13,2,0
CHS.24766.4,2,0
CHS.24808.4,2,0
CHS.24946.1,2,0
CHS.24946.21,2,0
CHS.2497.13,2,0
CHS.25009.28,2,0
CHS.2514.10,2,0
CHS.25155.4,2,0
CHS.25162.5,2,0
CHS.25166.4,2,0
CHS.25190.4,2,0
CHS.25258.1,2,0
CHS.25270.2,4,0
CHS.2532.3,2,0
CHS.25362.1,1,0
CHS.25378.1,2,0
CHS.2540.2,2,0
CHS.25482.8,2,0
CHS.25547.2,2,0
CHS.25563.5,2,0
CHS.25607.74,2,0
CHS.25642.25,2,0
CHS.25642.6,2,0
CHS.25682.19,2,0
CHS.25692.32,2,0
CHS.25815.2,2,0
CHS.25815.9,2,0
CHS.25816.1,1,0
CHS.25868.1,2,0
CHS.2589.21,2,0
CHS.25898.3,2,0
CHS.26002.23,2,0
CHS.2602.1,2,0
CHS.2604.8,2,0
CHS.26047.1,2,0
CHS.26065.10,2,0
CHS.26104.14,2,0
CHS.26104.15,2,0
CHS.26104.21,2,0
CHS.26124.4,2,0
CHS.26194.2,2,0
CHS.262.6,1,0
CHS.26270.2,2,0
CHS.2636.11,2,0
CHS.26417.21,2,0
CHS.26417.7,2,0
CHS.26472.1,2,0
CHS.26502.15,2,0
CHS.26503.17,2,0
CHS.2654.5,2,0
CHS.26548.3,2,0
CHS.26550.3,1,0
CHS.26629.1,2,0
CHS.26641.5,2,0
CHS.26650.8,1,0
CHS.26652.24,2,0
CHS.26692.7,2,0
CHS.26692.8,2,0
CHS.26747.4,2,0
CHS.26784.1,2,0
CHS.26784.3,2,0
CHS.2681.8,2,0
CHS.26818.13,2,0
CHS.26818.2,2,0
CHS.27.1,0,782
CHS.27.5,0,459
CHS.27.7,0,802
CHS.27078.18,2,0
CHS.27177.22,2,0
CHS.27214.7,2,0
CHS.27238.17,2,0
CHS.27253.1,2,0
CHS.27253.2,2,0
CHS.27253.3,2,0
CHS.27254.14,2,0
CHS.27254.2,6,0
CHS.27293.6,2,0
CHS.27438.5,2,0
CHS.27565.8,2,0
CHS.27612.4,1,0
CHS.27652.2,2,0
CHS.27673.2,2,0
CHS.27714.2,2,0
CHS.27714.3,2,0
CHS.28.1,0,512
CHS.28609.13,1,0
CHS.28609.17,2,0
CHS.28693.40,2,0
CHS.28738.1,2,0
CHS.28738.13,2,0
CHS.28756.8,2,0
CHS.28947.11,2,0
CHS.2895.21,1,0
CHS.28952.1,2,0
CHS.28998.8,2,0
CHS.29034.3,2,0
CHS.29040.8,2,0
CHS.29097.1,2,0
CHS.29193.2,2,0
CHS.29255.4,2,0
CHS.29356.24,2,0
CHS.29404.7,2,0
CHS.29407.2,1,0
CHS.29446.3,2,0
CHS.29508.10,5,0
CHS.29516.18,2,0
CHS.29521.12,2,0
CHS.29586.1,2,0
CHS.29597.2,2,0
CHS.29602.10,2,0
CHS.29602.56,4,0
CHS.29613.3,2,0
CHS.29618.1,2,0
CHS.29624.29,2,0
CHS.29681.4,2,0
CHS.29685.2,2,0
CHS.29722.1,2,0
CHS.29731.4,2,0
CHS.29741.2,2,0
CHS.29778.1,2,0
CHS.2978.1,2,0
CHS.29784.2,6,0
CHS.29799.6,2,0
CHS.29800.8,2,0
CHS.29856.5,2,0
CHS.29887.2,2,0
CHS.29890.2,2,0
CHS.29892.9,3,0
CHS.29905.39,2,0
CHS.29915.2,2,0
CHS.29923.6,2,0
CHS.29938.3,2,0
CHS.3.1,0,138
CHS.30.1,0,431
CHS.3001.3,4,0
CHS.30017.5,4,0
CHS.30022.1,2,0
CHS.30025.1,2,0
CHS.30053.10,2,0
CHS.30053.14,2,0
CHS.30079.52,2,0
CHS.30084.14,2,0
CHS.3013.1,2,0
CHS.30135.4,4,0
CHS.30138.2,2,0
CHS.30221.9,2,0
CHS.30224.4,2,0
CHS.30241.1,2,0
CHS.30261.3,2,0
CHS.30262.3,2,0
CHS.30296.14,2,0
CHS.303.12,11,0
CHS.303.15,6,0
CHS.303.6,4,0
CHS.30492.4,2,0
CHS.30600.1,2,0
CHS.30601.4,2,0
CHS.30601.8,2,0
CHS.30791.4,2,0
CHS.30835.1,2,0
CHS.30835.2,2,0
CHS.30854.14,2,0
CHS.30917.1,2,0
CHS.30924.2,2,0
CHS.30926.7,2,0
CHS.30994.2,2,0
CHS.31.1,0,587
CHS.31.2,2,0
CHS.31099.63,2,0
CHS.31108.10,2,0
CHS.31159.4,2,0
CHS.31216.7,2,0
CHS.313.6,2,0
CHS.31302.1,4,0
CHS.31318.1,2,0
CHS.31352.21,2,0
CHS.31370.3,2,0
CHS.31383.21,2,0
CHS.31407.3,2,0
CHS.31416.11,2,0
CHS.31456.12,2,0
CHS.31510.3,2,0
CHS.31628.5,2,0
CHS.31646.37,4,0
CHS.31646.45,2,0
CHS.31707.2,2,0
CHS.31726.25,2,0
CHS.31726.6,2,0
CHS.31726.7,2,0
CHS.31820.11,2,0
CHS.31858.9,2,0
CHS.31945.3,2,0
CHS.31984.2,2,0
CHS.31993.1,4,0
CHS.31993.11,2,0
CHS.32032.25,2,0
CHS.32037.10,2,0
CHS.32047.1,2,0
CHS.32050.3,2,0
CHS.3208.37,2,0
CHS.32088.2,2,0
CHS.32176.2,2,0
CHS.32186.9,2,0
CHS.32191.3,2,0
CHS.32234.5,2,0
CHS.32271.10,2,0
CHS.32315.5,6,0
CHS.32345.2,2,0
CHS.3236.2,2,0
CHS.32372.30,2,0
CHS.32374.10,2,0
CHS.32614.1,2,0
CHS.32614.7,2,0
CHS.32617.2,2,0
CHS.32627.2,2,0
CHS.32684.28,2,0
CHS.32684.9,2,0
CHS.3277.2,2,0
CHS.32813.2,2,0
CHS.3287.16,1,0
CHS.3293.22,2,0
CHS.32979.1,2,0
CHS.32979.5,2,0
CHS.33035.6,2,0
CHS.331.13,2,0
CHS.331.21,2,0
CHS.331.23,2,0
CHS.33147.1,2,0
CHS.3321.5,2,0
CHS.33296.4,2,0
CHS.33304.2,2,0
CHS.33360.11,2,0
CHS.33371.10,2,0
CHS.33378.7,2,0
CHS.33398.2,1,0
CHS.33398.3,2,0
CHS.33407.26,2,0
CHS.33413.1,2,0
CHS.33427.16,2,0
CHS.33488.2,2,0
CHS.3352.11,2,0
CHS.3353.4,2,0
CHS.33530.1,4,0
CHS.33536.2,2,0
CHS.33584.3,2,0
CHS.33604.8,2,0
CHS.33670.5,2,0
CHS.33742.5,2,0
CHS.33818.1,2,0
CHS.34011.1,2,0
CHS.34019.3,2,0
CHS.34027.47,2,0
CHS.34031.15,4,0
CHS.34055.3,2,0
CHS.34094.38,2,0
CHS.34150.16,2,0
CHS.34224.12,2,0
CHS.34224.3,2,0
CHS.34459.1,2,0
CHS.34472.6,2,0
CHS.34521.23,2,0
CHS.34521.5,2,0
CHS.34649.3,2,0
CHS.34656.5,2,0
CHS.34663.1,2,0
CHS.3469.5,2,0
CHS.34724.20,2,0
CHS.3474.21,2,0
CHS.34906.9,2,0
CHS.3491.1,2,0
CHS.34928.2,2,0
CHS.3496.4,2,0
CHS.34968.10,2,0
CHS.35154.3,2,0
CHS.35183.1,2,0
CHS.35199.12,2,0
